,Paradiso,Parafrasi
2656,"se la Scrittura sovra voi non fosse,","avrebbe motivi straordinari  di dubbio, "
2657,da dubitar sarebbe a maraviglia.,se non esistessero le Sacre Scritture a illuminare le vostre menti .
2658,Oh terreni animali! oh menti grosse!,O esseri mortali ! O ottusi  intelletti! 
2659,"La prima volontà, ch’è da sé buona,","La volontà di Dio , che è di per sé buona,"
2660,"da sé, ch’è sommo ben, mai non si mosse.","non si allontanò mai da se stessa, che è il bene supremo. "
2661,Cotanto è giusto quanto a lei consuona:,Tutto e solo ciò che si accorda con essa  è giusto; 
2662,"nullo creato bene a sé la tira,","nessun bene creato la può attrarre, anzi è essa che "
2663,"ma essa, radïando, lui cagiona».",con i suoi raggi  produce  le cose buone».
2664,Quale sovresso il nido si rigira,Come sopra  il nido volteggia la cicogna 
2665,"poi c’ha pasciuti la cicogna i figli,","dopo aver cibato i piccoli, e come i piccoli"
2666,e come quel ch’è pasto la rimira;,"che sono stati sfamati  la riguardano con gratitudine, "
2667,"cotal si fece, e sì leväi i cigli,","così fece la santa figura dell’Aquila, che muoveva "
2668,"la benedetta imagine, che l’ali","le ali spinte da tanti  spiriti , "
2669,movea sospinte da tanti consigli.,e così io alzai gli occhi .
2670,"Roteando cantava, e dicea: «Quali","Volando in tondo l’Aquila cantava, dicendo:"
2671,"son le mie note a te, che non le ’ntendi,","«Come il mio canto è per te tale, che non lo comprendi, "
2672,tal è il giudicio etterno a voi mortali».,così la volontà divina  è per voi uomini».
2673,Poi si quetaro quei lucenti incendi,Dopo che quei lumi accesi  dallo Spirito Santo 
2674,de lo Spirito Santo ancor nel segno,si fermarono sempre formando quell’insegna  
2675,"che fé i Romani al mondo reverendi,","che rese tutto il mondo sottomesso  ai Romani, "
2676,esso ricominciò: «A questo regno,essa ricominciò: «In questo regno  non si elevò
2677,"non salì mai chi non credette ’n Cristo,","mai un’anima che non professò la fede di Cristo,"
2678,né pria né poi ch’el si chiavasse al legno.,né prima né dopo che egli venisse inchiodato sulla croce .
2679,"Ma vedi: molti gridan “Cristo, Cristo!”,","Ma sta’ attento: molti che esclamano ‘Cristo, Cristo!’, "
2680,che saranno in giudicio assai men prope,"nel giorno del giudizio si troveranno meno vicini  a lui, "
2681,"a lui, che tal che non conosce Cristo;",di altri che non conobbero la fede cristiana;
2682,"e tai Cristian dannerà l’Etïòpe,","e un Etiope potrà condannare siffatti cristiani, "
2683,"quando si partiranno i due collegi,","quando si divideranno le due schiere , "
2684,l’uno in etterno ricco e l’altro inòpe.,"l’una eternamente ricca, l’altra in eterno povera ."
2685,"Che poran dir li Perse a’ vostri regi,","Che cosa potranno dire i Persiani ai vostri re, "
2686,come vedranno quel volume aperto,non appena leggeranno le pagine di quel libro
2687,nel qual si scrivon tutti suoi dispregi?,sul quale sono scritti tutti i loro peccati ?
2688,"Lì si vedrà, tra l’opere d’Alberto,","Lì si leggerà, fra le altre ingiustizie dell’imperatore Alberto, "
2689,"quella che tosto moverà la penna,","quella che presto indurrà la mano di Dio a scrivere, "
2690,per che ’l regno di Praga fia diserto.,per la quale il regno di Boemia verrà distrutto . 
2691,Lì si vedrà il duol che sovra Senna,In quel volume  si leggerà il male che colui che morirà 
2692,"induce, falseggiando la moneta,","per il morso di un cinghiale  ,"
2693,quel che morrà di colpo di cotenna.,"arrecherà alla Francia , falsando il valore della moneta."
2694,"Lì si vedrà la superbia ch’asseta,",In quel volume  si leggerà la bramosa arroganza
2695,"che fa lo Scotto e l’Inghilese folle,","che rende stolti il re di Scozia  e d’Inghilterra , "
2696,sì che non può soffrir dentro a sua meta.,così da non riuscire a contenersi nei propri confini . 
2697,Vedrassi la lussuria e ’l viver molle,"Si leggerà la vita lussuriosa e oziosa del re di Castiglia , "
2698,"di quel di Spagna e di quel di Boemme,","e del re di Boemia , il quale non conobbe "
2699,che mai valor non conobbe né volle.,né volle mai conoscere la virtù.
2700,Vedrassi al Ciotto di Ierusalemme,"Si leggeranno al nome di Carlo II lo Zoppo , "
2701,"segnata con un i la sua bontate,","re di Gerusalemme, registrate con una I le sue azioni virtuose, "
2702,quando ’l contrario segnerà un emme.,mentre quelle malvagie le indicherà una M. 
2703,Vedrassi l’avarizia e la viltate,Si leggerà dell’avarizia e della viltà di colui 
2704,"di quei che guarda l’isola del foco,","che regge la Sicilia ,"
2705,ove Anchise finì la lunga etate;,dove Anchise terminò la sua lunga vita; 
2706,"e a dare ad intender quanto è poco,","e per capire quanto poco egli vale, le righe che lo riguarderanno "
2707,"la sua scrittura fian lettere mozze,","saranno scritte con parole abbreviate , "
2708,che noteranno molto in parvo loco.,per poter annotare molte cose in poco spazio .
2709,E parranno a ciascun l’opere sozze,E saranno chiare a tutti le azioni vergognose  
2710,"del barba e del fratel, che tanto egregia","dello zio  e del fratello, che hanno disonorato  "
2711,nazione e due corone han fatte bozze.,una così nobile stirpe e due troni. 
2712,E quel di Portogallo e di Norvegia,"E su quel libro si saprà di Dionigi di Portogallo,"
2713,"lì si conosceranno, e quel di Rascia","di Acone VII di Norvegia, e di Stefano Uros II di Serbia , "
2714,che male ha visto il conio di Vinegia.,che a proprio danno conobbe la moneta di Venezia .
2715,"Oh beata Ungheria, se non si lascia","O felice l’Ungheria, se non si lascerà più maltrattare! "
2716,"più malmenare! e beata Navarra,","E felice la Navarra, se si farà baluardo "
2717,se s’armasse del monte che la fascia!,dei Pirenei  che la cingono !
2718,"E creder de’ ciascun che già, per arra","E come preavviso  di ciò, tutti devono "
2719,"di questo, Niccosïa e Famagosta",sapere che il regno di Cipro  già piange 
2720,"per la lor bestia si lamenti e garra,","e grida il suo rimprovero  per colpa del suo bestiale re, "
2721,che dal fianco de l’altre non si scosta».,per nulla diverso  da tutti gli altri».
2722,Quando colui che tutto ’l mondo alluma,"Quando il sole, che illumina  tutto l’universo,"
2723,"de l’emisperio nostro sì discende,","cala dal nostro emisfero, così che in ogni luogo "
2724,"che ’l giorno d’ogne parte si consuma,","la luce del giorno si va spegnendo , il cielo, "
2725,"lo ciel, che sol di lui prima s’accende,","che prima brillava  solo di esso, "
2726,subitamente si rifà parvente,improvvisamente torna a risplendere  
2727,"per molte luci, in che una risplende;",per i molti astri in cui si riflette l’unica luce ; 
2728,"e questo atto del ciel mi venne a mente,",e questo fenomeno  del cielo mi venne in mente
2729,come ’l segno del mondo e de’ suoi duci,"quando l’Aquila, insegna dell’Impero e dei suoi capi ,"
2730,nel benedetto rostro fu tacente;,tacque nel suo santo becco ; 
2731,"però che tutte quelle vive luci,","così che tutti quegli ardenti spiriti, splendendo ancor di più, "
2732,"vie più lucendo, cominciaron canti",iniziarono a intonare canti difficili e
2733,da mia memoria labili e caduci.,impossibili da ricordare per la mia memoria .
2734,"O dolce amor che di riso t’ammanti,","O santa carità che ti avvolgi  di letizia , "
2735,"quanto parevi ardente in que’ flailli,",quanto ti mostravi splendente in quelle fiaccole  
2736,ch’avieno spirto sol di pensier santi!,che erano ispirate solo da beati pensieri!
2737,Poscia che i cari e lucidi lapilli,Dopo che le preziose e lucenti gemme  
2738,ond’ io vidi ingemmato il sesto lume,da cui io vedevo incastonato il sesto pianeta  
2739,"puoser silenzio a li angelici squilli,","fecero tacere i loro canti  paradisiaci,"
2740,udir mi parve un mormorar di fiume,mi sembrò di sentire come il mormorio delle acque
2741,"che scende chiaro giù di pietra in pietra,","di un fiume che scende limpido di roccia in roccia,"
2742,mostrando l’ubertà del suo cacume.,dimostrando l’abbondanza  della sua sorgente .
2743,E come suono al collo de la cetra,E come i suoni assumono le loro modulazioni
2744,"prende sua forma, e sì com’ al pertugio","sul manico  della cetra, e così come dal buco"
2745,"de la sampogna vento che penètra,"," della zampogna il soffio che vi entra, così,"
2746,"così, rimosso d’aspettare indugio,","tolta ogni esitazione e attesa, quel suono interno"
2747,quel mormorar de l’aguglia salissi," dell’Aquila  salì lungo il collo,"
2748,"su per lo collo, come fosse bugio.",come se fosse bucato .
2749,"Fecesi voce quivi, e quindi uscissi","Lì si articolò in voce, e da lì uscì attraverso il"
2750,"per lo suo becco in forma di parole,","becco con parole distinte, quelle che desiderava "
2751,quali aspettava il core ov’ io le scrissi.,il mio animo nel quale io le impressi.
2752,«La parte in me che vede e pate il sole,«Quella parte del mio corpo che nelle aquile
2753,"ne l’aguglie mortali», incominciommi,","terrene regge la vista  del sole, »"
2754,"«or fisamente riguardar si vole,","cominciò a dirmi, «adesso devi osservare attentamente , "
2755,"perché d’i fuochi ond’ io figura fommi,","poiché delle luci che formano la mia figura , "
2756,"quelli onde l’occhio in testa mi scintilla,","quelle di cui risplende nel mio capo l’occhio, "
2757,e’ di tutti lor gradi son li sommi.,esse  sono le anime più nobili di tutta la loro schiera .
2758,"Colui che luce in mezzo per pupilla,","L’anima che brilla al centro come pupilla, fu  "
2759,"fu il cantor de lo Spirito Santo,",colui che cantò ispirato dallo Spirito Santo
2760,che l’arca traslatò di villa in villa:,e che trasportò  l’Arca santa di città in città;
2761,"ora conosce il merto del suo canto,","adesso sa quanto ha ben meritato per il suo canto,"
2762,"in quanto effetto fu del suo consiglio,","come risultato  della sua volontà ,"
2763,per lo remunerar ch’è altrettanto.,poiché la ricompensa  è a esso proporzionato .
2764,"Dei cinque che mi fan cerchio per ciglio,",Delle cinque anime luminose che formano
2765,"colui che più al becco mi s’accosta,","l’arco del mio sopracciglio, quella più vicina  al becco "
2766,la vedovella consolò del figlio:,è  colui che consolò la vedova per la morte del figlio:
2767,ora conosce quanto caro costa,"adesso sa quanto si paga il non aver la fede in Cristo, "
2768,"non seguir Cristo, per l’esperïenza",per la sua esperienza diretta di questa beatitudine paradisiaca e
2769,di questa dolce vita e de l’opposta.,della contraria dannazione nel limbo.
2770,E quel che segue in la circunferenza,"E l’anima successiva , nella parte"
2771,"di che ragiono, per l’arco superno,","più alta del ciglio  di cui sto parlando, "
2772,morte indugiò per vera penitenza:,differì  la sua morte con la sua sincera penitenza: 
2773,ora conosce che ’l giudicio etterno,"ora sa che il giudizio divino non cambia,"
2774,"non si trasmuta, quando degno preco",quando una giusta preghiera  sulla terra porta 
2775,fa crastino là giù de l’odïerno.,a domani  ciò che dovrebbe accadere oggi.
2776,"L’altro che segue, con le leggi e meco,","La luce seguente , con leggi e con me, "
2777,"sotto buona intenzion che fé mal frutto,",trasferì l’Impero in Oriente  per fare dono 
2778,per cedere al pastor si fece greco:,"di terre al papa , ottima intenzione che diede pessimi risultati; "
2779,ora conosce come il mal dedutto,ora sa che il male derivato  dalla sua buona azione 
2780,"dal suo bene operar non li è nocivo,","non gli è stato dannoso, per quanto  da esso"
2781,avvegna che sia ’l mondo indi distrutto.,il mondo sia stato mandato in rovina.
2782,"E quel che vedi ne l’arco declivo,",L’anima che brilla nella curva discendente  
2783,"Guiglielmo fu, cui quella terra plora","è il re Guglielmo II d’Altavilla, e lui rimpiangono  "
2784,che piagne Carlo e Federigo vivo:,quei territori che adesso soffrono per colpa 
2785,ora conosce come s’innamora,dei re Carlo II d’Angiò e Federico II d’Aragona: 
2786,"lo ciel del giusto rege, e al sembiante","ora sa quanto Dio  ami  il re giusto, "
2787,del suo fulgore il fa vedere ancora.,e lo dimostra anche  nell’aspetto del suo splendore.
2788,Chi crederebbe giù nel mondo errante,"Chi potrebbe immaginare, laggiù sulla "
2789,che Rifëo Troiano in questo tondo,"terra peccatrice , che il troiano Rifeo "
2790,fosse la quinta de le luci sante?,sia la quinta anima beata di questo sopracciglio ? 
2791,Ora conosce assai di quel che ’l mondo,Adesso egli sa molto di quello che l’uomo  non
2792,"veder non può de la divina grazia,","può comprendere della bontà di Dio, anche se la"
2793,ben che sua vista non discerna il fondo».,sua conoscenza non può raggiungere la perfezione ».
2794,Quale allodetta che ’n aere si spazia,Come un’allodola  che vola nell’aria 
2795,"prima cantando, e poi tace contenta","dapprima cantando, quindi tacendo felice delle"
2796,"de l’ultima dolcezza che la sazia,","ultime dolci note che la soddisfano pienamente ,"
2797,tal mi sembiò l’imago de la ’mprenta,"così mi sembrò l’Aquila, immagine dell’impronta  di Dio, "
2798,"de l’etterno piacere, al cui disio","perfetta gioia, secondo il desiderio del quale "
2799,ciascuna cosa qual ell’ è diventa.,tutte le cose si fanno quello che sono.
2800,E avvegna ch’io fossi al dubbiar mio,E per quanto  rispetto al mio nuovo dubbio 
2801,"lì quasi vetro a lo color ch’el veste,",io fossi trasparente come un vetro al colore dell’oggetto 
