,Paradiso,gpt_parafrasi
1362," e però, prima che tu più t’inlei, rimira in giù, e vedi quanto mondo sotto li piedi già esser ti fei","Prima di esplorarla ulteriormente, guarda indietro e prendi nota di quanto Cielo hai già attraversato con il mio aiuto."
1363," sì che ’l tuo cor, quantunque può, giocondo s’appresenti a la turba trïunfante che lieta vien per questo etera tondo»",Affinché il tuo cuore possa manifestare una gioia sincera davanti all'armata trionfante di anime che contente attraversano questo paradiso circolare.
1364," Col viso ritornai per tutte quante le sette spere, e vidi questo globo tal, ch’io sorrisi del suo vil sembiante","Dopo aver individuato i sette pianeti, vedendo lo spettacolo del piccolo globo che orbitava intorno a loro, non potei esimermi dal sorridere di fronte alla sua insignificante immagine."
1365," e quel consiglio per migliore approbo che l’ha per meno",concordo col parere di chi pensa che sia insignificante
1366," e chi ad altro pensa chiamar si puote veramente probo","Colui che non ha la mente concentrata su se stesso, ma piuttosto si preoccupa degli altri può essere considerato un vero uomo di valore."
1367," Vidi la figlia di Latona incensa sanza quell’ ombra che mi fu cagione per che già la credetti rara e densa"," dell'atmosferaContemplai la figlia di Latona, resplendente e senza quelle ombre presumibilmente dovute alla variabilità della densità atmosferica."
1368," L’aspetto del tuo nato, Iperïone, quivi sostenni, e vidi com’ si move circa e vicino a lui Maia e Dïone","Potei ammirare l'aspetto di tuo figlio, Iperione, e osservai come Mercurio e Venere orbitavano intorno ad esso."
1369," Quindi m’apparve il temperar di Giove tra ’l padre e ’l figlio","Qui Giove era in mezzo tra Saturno e Marte, con un aspetto placido."
1370," e quindi mi fu chiaro il varïar che fanno di lor dove",Ho compreso come i loro pianeti avevano cambiato posizione.
1371," e tutti e sette mi si dimostraro quanto son grandi e quanto son veloci e come sono in distante riparo","Vidi tutti e sette i pianeti con occhio nitido, nonostante la loro dimensione reale, velocità e disposizione reciproca nel cielo."
1372," L’aiuola che ci fa tanto feroci, volgendom’ io con li etterni Gemelli, tutta m’apparve da’ colli a le foci","Mentre ruotavo insieme all'immutabile costellazione dei Gemelli, apparve il nostro pianeta Terra dando un senso di ferocia."
1373," poscia rivolsi li occhi a li occhi belli","Guardai con occhi pieni di ammirazione i suoi, splendidi."
1374," Come l’augello, intra l’amate fronde, posato al nido de’ suoi dolci nati la notte che le cose ci nasconde, ","Come un uccello che, dopo aver passato la notte con i suoi piccoli nel nido, riposa tra le amate foglie mentre la notte cela le cose."
1375," che, per veder li aspetti disïati e per trovar lo cibo onde li pasca, in che gravi labor li sono aggrati,","Per poter vedere i piccoli e per provvedere al loro nutrimento,"
1376,"  previene il tempo in su aperta frasca, e con ardente affetto il sole aspetta, fiso guardando pur che l’alba nasca","mentre scrutava l'orizzonte, con viva curiosità, sedeva sopra un ramo vulnerabile aspettando il levarsi del sole per illuminare la notte con l'arrivo dell'alba"
1377," così la donna mïa stava eretta e attenta, rivolta inver’ la plaga sotto la quale il sol mostra men fretta","Con la testa in su, il mio amore stava fermo e vigile, fissando la parte del Cielo dove il Sole sembrava spostarsi più lentamente."
1378," sì che, veggendola io sospesa e vaga, fecimi qual è quei che disïando altro vorria, e sperando s’appaga","A tal punto che, osservandola così piena di attesa, mi sentii come qualcuno desideroso di qualcosa e soddisfatto solo dall'avere la possibilità di sperare."
1379," Ma poco fu tra uno e altro quando, del mio attender, dico, e del vedere lo ciel venir più e più rischiarando",Non fu molto tempo tra l'attesa e lo spettacolo del Cielo che diventava sempre più luminoso.
1380," e Beatrice disse",e Beatrice disse
1381," «Ecco le schiere del trïunfo di Cristo e tutto ’l frutto ricolto del girar di queste spere»","Qui c'è una moltitudine di santi che godono della vittoria di Cristo, e tutto il dono che scaturisce dalle energie divine."
1382," Pariemi che ’l suo viso ardesse tutto, e li occhi avea di letizia sì pieni, che passarmen convien sanza costrutto","Mi sembrava che il suo volto fosse inondato di bontà, ed aveva gli occhi così colmi di felicità che non riuscivo a descriverli adeguatamente."
1383," Quale ne’ plenilunii sereni Trivia ride tra le ninfe etterne che dipingon lo ciel per tutti i seni, ","Come una luce argentata si riversa attraverso le stelle luminose, rendendo il cielo scintillante in ogni angolo della notte durante i pleniluni sereni."
1384," vid’ i’ sopra migliaia di lucerne un sol che tutte quante l’accendea, come fa ’l nostro le viste superne","Vidi un sole che illuminava luminosi punti di luce, proprio come il nostro Sole è in grado di fare con le stelle."
1385," e per la viva luce trasparea la lucente sustanza tanto chiara nel viso mio, che non la sostenea","Era talmente splendente la lucente sostanza che, attraverso la vivida luce , non potevo più trattenere lo sguardo."
1386," Oh Beatrice, dolce guida e cara","Oh, Beatrice, indulgente e gentile guida."
1387," Ella mi disse"," Lei mi disse"
1388," «Quel che ti sobranza è virtù da cui nulla si ripara",Colui che è più grande di te rappresenta uno standard di eccellenza superiore a tutto il resto.
1389," Quivi è la sapïenza e la possanza ch’aprì le strade tra ’l cielo e la terra, onde fu già sì lunga disïanza»","Costi, potere ed eccellenza costruirono una strada tra il paradiso e la terra, paragonabile a quella che da tempo si desiderava."
1390," Come foco di nube si diserra per dilatarsi sì che non vi cape, e fuor di sua natura in giù s’atterra, ","Come un fulmine esplode nella nube per via dell'espansione a tal punto che essa non può trattenere l'impulso, causando così la sua caduta, in contrasto con le forze naturali."
1391," la mente mia così, tra quelle dape fatta più grande, di sé stessa uscìo, e che si fesse rimembrar non sape","La mia mente, cresciuta superando le altre, si allontanò da se stessa e ora non riesce a ricordare cosa ha fatto in quel momento."
1392," «Apri li occhi e riguarda qual son io",Apri gli occhi e guarda come sono io
1393," tu hai vedute cose, che possente se’ fatto a sostener lo riso mio»",Hai testimoniato eventi di tali proporzioni da renderti abbastanza forte per guardare bene al mio sorriso.
1394," Io era come quei che si risente di visïone oblita e che s’ingegna indarno di ridurlasi a la mente, ","Ero come qualcuno che, dopo una rivelazione poi dimenticata, cercava invano di ricordarla."
1395," quand’ io udi’ questa proferta, degna di tanto grato, che mai non si stingue del libro che ’l preterito rassegna","Quando ho udito questa proposta, sono stata così profondamente grata che non sarà mai cancellato dalla mia mente."
1396," Se mo sonasser tutte quelle lingue che Polimnïa con le suore fero del latte lor dolcissimo più pingue, per aiutarmi, ","Se ora sentissi risuonare il coro che Polimnia e le sue sorelle hanno reso più ricca con la loro ispirazione,"
1397," al millesmo del vero non si verria, cantando il santo riso e quanto il santo aspetto facea mero","Non potrei farne una descrizione che giungesse anche solo lontanamente a mostrare quanto fosse brillante il santissimo sorriso, e con quale forza irradiasse la sua sacralità sul sacro volto."
1398," e così, figurando il paradiso, convien saltar lo sacrato poema, come chi trova suo cammin riciso","Così, descrivendo il Paradiso, è impossibile che il poema sacro tralasci certe cose, come chi trova la sua strada interrotta"
1399," Ma chi pensasse il ponderoso tema e l’omero mortal che se ne carca, nol biasmerebbe se sott’ esso trema","Chi considerasse la pesantezza del tema e le umane risorse che si cercano di sopportarlo, non avrebbe da biasimare se vacillassero sotto il suo peso."
1400," non è pareggio da picciola barca quel che fendendo va l’ardita prora, né da nocchier ch’a sé medesmo parca",la prua ardita che sta navigando su questo tratto di mare è troppo difficile da gestire con un'imbarcazione piccola o per chi non vuole sprecare le proprie energie.
1401," «Perché la faccia mia sì t’innamora, che tu non ti rivolgi al bel giardino che sotto i raggi di Cristo s’infiora? ",Perché il mio volto ti affascina tanto da non riuscire a distogliere lo sguardo dalla magnifica aiuola che fiorisce sotto la luce di Cristo?
1402," Quivi è la rosa in che ’l verbo divino carne si fece","In questo luogo, la rosa ebbe il privilegio di essere la cornice in cui si manifestò il Verbo Divino."
1403," quivi son li gigli al cui odor si prese il buon cammino»","Grazie al loro profumo, i gigli hanno incoraggiato l'umanità a prendere la via della rettitudine."
1404," Così Beatrice",Così Beatrice
1405," e io, che a’ suoi consigli tutto era pronto, ancora mi rendei a la battaglia de’ debili cigli","Io, che ero pronto a seguire le sue direttive, affrontai di nuovo la sfida della mia limitata visione."
1406," Come a raggio di sol, che puro mei per fratta nube, già prato di fiori vider, coverti d’ombra, li occhi miei","Attraverso le nubi che filtravano i raggi del sole, come un prato fiorito illuminato, i miei occhi accolsero l'ombra su di esso."
1407," vid’ io così più turbe di splendori, folgorate di sù da raggi ardenti, sanza veder principio di folgóri","Vidi una moltitudine di luci, rischiarata dai luminosi raggi di Cristo che non potevo individuare da dove provenissero."
1408," O benigna vertù che sì li ’mprenti, sù t’essaltasti, per largirmi loco a li occhi lì che non t’eran possenti","O meravigliosa virtù che illumini così quelle anime, innalzasti te stessa in modo da permettere ai miei occhi di vedere lontano, dove non potevano arrivarci autonomamente."
1409," Il nome del bel fior ch’io sempre invoco e mane e sera, tutto mi ristrinse l’animo ad avvisar lo maggior foco",Invocare il nome del bel fiore mattino e sera ha fatto sorgere in me un desiderio di intravedere la luce più intensa.
1410," e come ambo le luci mi dipinse il quale e il quanto de la viva stella che là sù vince come qua giù vinse, ","Non appena io vidi con entrambi i miei occhi la brillantezza e lo splendore di quella stella straordinaria, che trionfò al di là dello spazio come ha fatto anche in questo regno, rimasi senza fiato."
1411," per entro il cielo scese una facella, formata in cerchio a guisa di corona, e cinsela e girossi intorno ad ella","Un anello di fiamma che sembrava una corona scese dall'alto e iniziò a girare intorno alla figura sottostante, circondandola con la sua luce."
1412," Qualunque melodia più dolce suona qua giù e più a sé l’anima tira, parrebbe nube che squarciata tona, ","Ogni melodia suonata con più dolcezza che possa toccare l'anima umana, sembrerebbe un fulmine che squarcia una nube."
1413," comparata al sonar di quella lira onde si coronava il bel zaffiro del quale il ciel più chiaro s’inzaffira","Accompagnato dalla melodia della cetra, il brillante zaffiro regalava al Cielo i suoi più splendenti gioielli."
1414," «Io sono amore angelico, che giro l’alta letizia che spira del ventre che fu albergo del nostro disiro","Io sono l'amore di un angelo, che si libra in alto nell'eccelsa gioia nata dall'ardente desiderio che abita il nostro cuore."
1415," e girerommi, donna del ciel, mentre che seguirai tuo figlio, e farai dia più la spera suprema perché lì entre»","Continuerò a viaggiare, regina del Cielo, finché tu accompagnerai il tuo Figlio e renderai luminoso l'alto firmamento per entrarvi."
1416," Così la circulata melodia si sigillava, e tutti li altri lumi facean sonare il nome di Maria","Il canto dell'angelo si diffuse mentre girava in tondo, con le luci degli altri beati che echeggiavano il nome di Maria in una dolce melodia."
