Originale,Traduzione EN
Molto mi parve che 'l fatto sie 'n punto.,It seemed to me that things were going very well.
Dritta a la camera a la donna mia,"The Old Woman went straight to my lady’s chamber, "
"N'andò la Vec[c]hia, quanto può trot[t]ando,","trotting along as fast as she could, "
"E quella la trovò molto pensando,","and she found her in a very anxious state, "
Come se fosse d'una voglia ria.,as though she were in a foul mood.
"Crucciosa so ch'era, che non rid","I know she was worried, for she did not smile: "
a:,"the Old Woman quickly began to comfort her, "
Sì tosto al[l]or la va riconfor,"saying: “My child, I suggest "
"ando,",that you not fall prey to melancholy;
"E disse: “Figl[i]uola mia, io ti comando",see what your friend has given you.”
Che•ttu nonn-entri già i•mmalinconia;,At that point she shows her those lovely jewels 
E vê•cciò che tu' amico ti presenta”.,and asks her to accept them:
"Allor le mostra quelle gioielette,",“Look at how beautiful and nice they are.”
Pregandola c[h]'a prenderl'aconsenta:,And the young woman was not slow to ask 
“Reguarda com'elle son belle e nette”.,who it was who sends them to her.
E quell'a domandar non fu già lenta,
Chi era colui che gliele tramette.,
“Il bel valetto di cu' biasmo avesti,"“The handsome lad for whom you were once punished, "
"Giadisse, sì [è] colui che•lle ti manda,","he is the one who sends them to you, "
E 'l rimanente c[h]'à è a tua comanda:,and the others that he has are at your command: 
Unquanche uon più cortese non vedesti.,never have you seen a more refined man.
"E priegati, se mai ben gli volesti,","And he begs you, if you ever loved him, "
Che per l'amor di lui questa ghirlanda,that for love of him you must wear 
"Deg[g]ie portare, e sì sé racomanda","this garland, and thus he puts himself "
Del tutto a te: gran peccato faresti,"completely in your power. You would commit a great sin,"
Se 'l su' presente tu gli rifusassi;,if you were to refuse his gift. 
Ch'i' son certana ch'e' si disper[r]ebbe,"For I’m certain that he would despair, "
Se•ttu così del tutto lo sfidassi;,if you were in this way to discourage him completely;
"Ché, quanto ch'e' potesse, e' sì fareb[b]e","for he would do as much as he could for you, "
"Per te, e sofferria che•llo 'ngaggiassi,","and he would not object, even if you were to pawn it, "
"E, se 'l vendessi, sì gli piacereb[b]e”.","and, if you were to sell it, he would similarly be pleased.”"
"“Madonna, i' d","“My Lady, I fear Jealousy so much "
tto tanto Gelosia,that I would not dare to take this gift; 
Ch'esto presente prender non osasse;,for if tomorrow she would ask me: 
Che•sse domane ella mi domandasse:,‘Who gave it to you?’ what would I tell her?”
"'Chi 'l ti donò?', io come le diria?”.",“I would not conceal a good answer from you: 
“Risposta buona i' non ti celeria:,"if any other answer would fail you, "
"Che s'ogn'altra risposta ti fal[l]asse,","you can say at least that I gave it to you, "
"Sì dì almen ched i' la ti donasse,",and I’ll tell her that this is the case.”
Ed i' le dirò ben che così sia”.,Then the Old Woman took the garland 
"Allor la Vec[c]hia la ghirlanda prese,","and put it on the young woman’s golden braids, "
E 'n su le treccie bionde a la pulcella,and she did not resist too much.
"La puose, e quella guar' non si contese;","And then she took the mirror and calls her, "
"E po' prese lo spec[c]hio, e sì•ll'apella,","saying: “Come here, gentle daughter. "
"E disse: “Vien' qua, figl[i]uola cortese.","Look at yourself, and see how beautiful you are!”"
Riguàrdati se•ttu se' punto bella”.,
Al[l]or Bellacoglienza più non tarda:,Thus Fair Welcome does not delay. 
"Immantenente lo spec[c]hi'eb[b]e i•mmano,","As soon as she took the mirror in hand, "
Sì vide il viso suo umile e piano;,she saw her humble and honest face: 
Per molte volte nello spec[c]hio guarda.,she looks at herself many times in the mirror.
"La Vec[c]hia, che•ll'avea presa en sua guarda,","The Old Woman, who had taken her under her wing, "
"Le giura e dice: “Per lo Dio sovrano,","swears to her saying: “In the name of God the sovereign, "
"Ch'unquanche Isotta, l'amica Tristano,","never did Isolt, Tristan’s friend, "
[...............................................-arda],[. . .]
"Come tu•sse', figl[i]uola mia gentile.","as you are, my noble daughter. "
"Or convien che•ttu ab[b]ie il mi' consiglio,","It’s best that you have my advice, "
Che cader non potessi in luogo vile.,so that you might not fall into a bad situation.
"Se non sai guari, no•mmi maraviglio,","I’m not surprised if you don’t know a lot, "
"Ché giovan uon non puot'esser sottile,","for a young person cannot be wise, "
"Chéd i', quanto più vivo, più asottiglio.",because the longer I live the wiser I become.”
"“Figl[i]uola mia cortese ed insegnata,","“My dear noble and well-bred daughter, "
La tua gran gioia sì è ancor a venire.,your great joy is yet to come. 
"Or me convien me pianger e languire,","Now it’s my time to cry and languish, "
Ché•lla mia sì se n'è tutta passata,"because my joy is completely over,"
"Né non fie mai per me più ritrovata,","and I will not find it ever again, "
Chéd ella mi giurò di non reddire.,for it swore to me that it would not return. 
Or ,"Now I want to advise you, who must feel "
"o' consigliar te, che dé' sentire",the heat of Love’s flame: you must be careful
"Il caldo del brandon, che sie avisata",not to do as I did; 
Che non facessi sì come fec'io:,for which I’m sad when I remember 
De ch'i' son trista quand'e' me'n ri,that I cannot return to love’s labor. 
"a,","Therefore, I’ll tell you how things seem to me: "
Ch'i' non posso tornare a•lavorio.,"if you will follow my advice, "
Per ch'i' te dico ben ched e' mi sembra:,you’ll not lose men’s riches or their bodies.”
"Se•ttu creder vor[r]à' 'l consiglio mio,",
Tu sì non perderai aver né membra.,
“Se del giuoco d'amor i' fosse essuta,“If I had been a true expert 
"Ben sag[g]ia quand'i' era giovanella,","in the game of love when I was young, "
I' sare' ric[c]a più che damigella,I would be richer than any young noble woman 
O donna che•ttu ag[g]ie og[g]i veduta:,"or lady, whom you can see today."
Ch'i' fu' sì trapiacente in mia venuta,I was so greatly pleasing in my youth 
Che per tutto cor[r]ëa la novella,that the news spread everywhere 
Com'i' era cortese e gente e bella;,of how gracious and noble and beautiful I was; 
"Ma•cciò mi pesa, ch'i' non fu' saputa.",but what troubles me is that I was not wise.
Or sì mi doglio quand'i' mi rimiro,"So now I grieve, when I look at myself "
"Dentro a lo spec[c]hio, ed i' veg[g]o invec[c]hiarmi:",in the mirror and see myself grown old: 
Molto nel mï[o] cuore me n'adiro.,I get very angry in my heart.
"Ver è ched i' di ciò non posso atarmi,","To be sure, I cannot help myself in this, "
Sì che per molte volte ne sospiro,"and so I frequently sigh, "
Quand'i' veg[g]io biltate abandonarmi.,when I see my beauty abandoning me.”
"“Per tutto 'l mondo i' era ricordata,","“As I told you, I was celebrated "
"Com'io t'ò detto, de la mia bieltate,","throughout the world for my beauty, "
"E molte zuffe ne fur cominciate,","and many fights were begun because of this, "
E molt,and many people were often wounded.
 gent,To the one who thought he had me all to himself 
 alcun'ora piagata;,I showed more harshness; 
"Ché que' che mi crede' aver più legata,","my promises to him were not kept, "
Assà' mostrav'i' più di duritate:,because other men had engaged me with their pledges.
"Le mie promesse gli venian fallate,",Many times my door was broken down
C[h]'altre persone m'avieno inarrata.,"and battered, when I was sleeping; "
Per molte volte m'era l'uscio rotto,"but despite this I said nothing to them,"
"E tentennato, quand'io mi dormia;",since I had the company of another man; 
"Ma già per ciò io non facea lor motto,",I made him believe that his sexual pleasure 
"Perciò ched i' avea altra compagnia,",pleased me more than any other thing in the world.”
A cui intender facea che 'l su' disd,
tto,
Mi piacea più che null'altro che•ssia.,
"“I' era bella e giovane e folletta,","“I was beautiful and young and without cares, "
Ma non era a la scuola de l'amore,but to the school of love I’d not yet 
Istata; ma i' so or ben per cuore,been; but now I know by heart 
La pratica la qual ti fie qui detta.,the techniques that will be related to you here.
Usanza me n'à fatta sì savietta,Experience has made me so wise 
Ched i' non dotterei nessun lettore,that I would not fear any teacher 
"Che di ciò mi facesse desinore,","who might make me lose face in this subject, "
Ma' ched i' fosse bella e giovanetta:,if only I were beautiful and young.
Chéd egli è tanto ched i' non finai,I have been studying this subject for so long 
Che•lla scïenza i' ò nel mi' coraggio;,that I have full knowledge of it in my heart. 
"Sed e' ti piace, tu l'ascolterai,","If you like, you will hear it,"
Ma i' no l'eb[b]i sanza gran damag[g]io:,but I did not obtain it without great hardship: 
Molta pen' e travaglio vi durai;,much anguish and suffering I endured; 
Ma pur ,but at least wisdom and experience have remained.”
lme,
 sen[n]'è [re]m,
s' e usag[g]io.,
"“Molti buon' uomini i' ò già 'ngannati,","“Many valorous men I once deceived, "
Quand'i' gli tenni ne' mie' lacci presi:,when I had them caught in my amorous snares: 
Ma prima fu' 'ngannata tanti mesi,but I myself was deceived for many months 
Che ' più de' mie' sollaz[z]i eran passati.,before most of my pleasure-giving features had faded.
Centomilia cotanti barattati,I would have tricked a hundred thousand men 
"N'avrei, s'i' a buon'or gli avesse tesi,","and more, if I had set my snares in time, "
"E conti e cavalieri e gran borgesi,",and counts and knights and rich merchants 
Che molti fiorin' d'oro m'avrian dati.,would have given me lots of gold florins.
"Ma quand'i' me n'avidi, egli era tardi,","But when I realized this, it was late, "
"Chéd i' era già fuor di giovanez[z]a,","for I was already past my youth, "
"Ed eranmi falliti i dolzi isguardi,","and my sweet looks were already gone,"
Perché 'n sua bàlia mi tenea vec[c]hiez[z]a.,since old age had me in her power. 
"Or convien, figlia mia, che tu ti guardi","Now, my daughter, you must take care, "
Che•ttu non ti conduchi a tale strez[z]a.,so that you will not come to the same harsh pass.”
“Molto mi dolea il cuor quand'i' vedea,“My heart was truly grieved when I saw 
"Che•ll'uscio mïo stava in tal sog[g]iorno,","that my door was in such a quiet state, "
Che vi solea aver tal pressa 'ntorno,for there used to be such a crowd around it 
Che tutta la contrada ne dolea.,that the whole neighborhood would complain.
"Ma, quanto a me, e' no•me ne calea,","But as for me, I didn’t care, "
"Ché troppo più piacea loro quel torno,",because they liked to come around; 
Ch'i' era allora di sì grande attorno,and I was then so wondrously beautiful 
Che tutto quanto il mondo mi' parea.,that the entire world seemed mine.
Or convenia che di dolor morisse,"Now, it was inevitable that I should die of sorrow "
"Quand'i' vedea que' giovani passare,",when I would see those young men pass by: 
E ciaschedun parea che mi schernisse.,each of them it seemed was mocking me.
Vec[c]hia increspata mi facean chiamare,"A wrinkled old woman, they had me called "
A colù' solamente che giadisse,by the one who only a short while ago 
Più carnalmente mi solea amare.,had loved me with great carnal desire.”
“Ancora d'altra parte cuore umano,"“Yet, on the other hand, a human heart "
Non pensereb[b]e il gran dolor ch'i' sento,could not imagine the great pain I feel 
Tratutte l'ore ch'i' ò pensamento,all those many hours when I remember 
De' be' basciar' che m'ànno dato mano.,the wonderful kisses that have bid me farewell.
"Ogni sollaz[z]o m'è og[g]i lontano,","Every joy is far from me today, "
Ma non ira e dolori e gran tormento:,but not anger and pain and great suffering: 
Costor sì ànno fatto saramento,these have made a vow 
Ch'i' non uscirò lor mai di tra mano.,that I will never leave their clutches.
"Or puo' veder com'i' son arivata,","Now you can see to what point I’ve come, "
Né al mi' mal nonn-à altra cagione,and for my pain there is no other cause 
Se non ched i' fu' troppo tosto nata.,except that I was born too soon.
