,Inferno,Inferno_ita
2945,"io non ti verrò dietro di gualoppo, ","io non ti inseguirò di galoppo, "
2946,ma batterò sovra la pece l’ali.,ma volerò  sopra la pece. 
2947,"Lascisi ’l collo, e sia la ripa scudo,","Noi ci allontaneremo dalla parte alta  della bolgia , e l’argine ci farà da riparo, "
2948,"a veder se tu sol più di noi vali"". ",per vedere se da solo vali più di tutti noi». 
2949,"O tu che leggi, udirai nuovo ludo:","O tu che leggi, sentirai una nuova rappresentazione: "
2950,"ciascun da l’altra costa li occhi volse,","ogni diavolo rivolse gli occhi all’altra riva, "
2951,"quel prima, ch’a ciò fare era più crudo. ",primo tra tutti quello che era stato più riluttante a far questo. 
2952,Lo Navarrese ben suo tempo colse;,Il Navarrese seppe ben cogliere il momento opportuno ; 
2953,"fermò le piante a terra, e in un punto","rinsaldò i piedi a terra, e in un momento "
2954,saltò e dal proposto lor si sciolse. ,si tuffò e si liberò dalle loro intenzioni. 
2955,"Di che ciascun di colpa fu compunto,","Di questo ognuno dei diavoli si sentì colpevole, "
2956,ma quei più che cagion fu del difetto;,ma specialmente colui  che fu l’artefice dell’errore ;
2957,"però si mosse e gridò: ""Tu se’ giunto!"". ",per cui si mosse e gridò: «Tu sei riacciuffato!». 
2958,Ma poco i valse: ché l’ali al sospetto,Ma a poco gli servì; poiché le ali non poterono 
2959,"non potero avanzar; quelli andò sotto,","superare il timore  del dannato; questi s’immerse, "
2960,e quei drizzò volando suso il petto: ,e quell’altro volando verso l’alto sollevò il petto; 
2961,"non altrimenti l’anitra di botto,","non diversamente l’anitra di botto, "
2962,"quando ’l falcon s’appressa, giù s’attuffa,","quando il falco s’avvicina, si tuffa nell’acqua, "
2963,ed ei ritorna sù crucciato e rotto. ,e questo è costretto a levarsi in volo crucciato per la sconfitta . 
2964,"Irato Calcabrina de la buffa,","Calcabrina, sdegnato di quella beffa ,"
2965,"volando dietro li tenne, invaghito","in volo lo seguì, desideroso "
2966,che quei campasse per aver la zuffa; ,che il dannato  si salvasse per poter attaccar briga; 
2967,"e come ’l barattier fu disparito,","e appena  il barattiere disparve,"
2968,"così volse li artigli al suo compagno,","rivolse gli artigli contro il suo compagno, "
2969,e fu con lui sopra ’l fosso ghermito. ,e si azzuffò  con lui sopra la palude . 
2970,Ma l’altro fu bene sparvier grifagno,Ma quell’altro fu davvero  uno sparviero grifagno 
2971,"ad artigliar ben lui, e amendue","a colpirlo bene con gli artigli, e ambedue "
2972,cadder nel mezzo del bogliente stagno. ,caddero in mezzo alla palude bollente. 
2973,Lo caldo sghermitor sùbito fue;,Il caldo della pece li fece subito separare ; 
2974,"ma però di levarsi era neente,","ma era impossibile  sollevarsi, "
2975,sì avieno inviscate l’ali sue. ,tanto avevano le loro ali invischiate di pece. 
2976,"Barbariccia, con li altri suoi dolente,","Barbariccia scornato, insieme agli altri, "
2977,quattro ne fé volar da l’altra costa,ordinò che quattro demoni volassero dall’altra parte dell’argine 
2978,"con tutt’i raffi, e assai prestamente ","con tutti gli uncini, e molto prontamente "
2979,"di qua, di là discesero a la posta;",da una parte e dall’altra discesero alla postazione ; 
2980,"porser li uncini verso li ’mpaniati,","sporsero gli uncini a quei due lordi di pece , "
2981,ch’eran già cotti dentro da la crosta. ,che erano ormai bruciati  sotto la superficie .
2982,E noi lasciammo lor così ’mpacciati.,E noi li lasciammo mentre erano così impacciati.
2983,"Taciti, soli, sanza compagnia","In silenzio, soli, privi di scorta, "
2984,"n’andavam l’un dinanzi e l’altro dopo,","andavamo uno innanzi e l’altro dietro , "
2985,come frati minor vanno per via.,nel modo in cui camminano per strada i frati minori. 
2986,Vòlt’era in su la favola d’Isopo,"La mia mente era rivolta, "
2987,"lo mio pensier per la presente rissa,","per la recente rissa, alla favola di Esopo, "
2988,dov’el parlò de la rana e del topo; ,in cui egli ha raccontato della rana e del topo; 
2989,ché più non si pareggia ’mo’ e ’issa’,poiché non c’è maggiore corrispondenza  tra ‘mo’ e ‘issa’ 
2990,"che l’un con l’altro fa, se ben s’accoppia","come tra la favola e la rissa dei diavoli , "
2991,principio e fine con la mente fissa. ,se si raffrontano  con grande attenzione l’inizio e la conclusione. 
2992,"E come l’un pensier de l’altro scoppia,","E come da un pensiero ne nasce  un altro, "
2993,"così nacque di quello un altro poi,",così da quello ne scaturì poi uno 
2994,che la prima paura mi fé doppia. ,che raddoppiò in me la primitiva  paura. 
2995,Io pensava così: ’Questi per noi,Io così pensavo: «Questi diavoli per causa nostra  
2996,sono scherniti con danno e con beffa,"sono stati scherniti con danno e una tale beffa, "
2997,"sì fatta, ch’assai credo che lor nòi. ",che penso che a loro rincresca molto .
2998,"Se l’ira sovra ’l mal voler s’aggueffa,","Se alla loro malvagità naturale si aggiunge  la collera, "
2999,ei ne verranno dietro più crudeli,essi ci verranno dietro più inferociti di un cane 
3000,che ’l cane a quella lievre ch’elli acceffa’. ,che sta azzannando la lepre». 
3001,Già mi sentia tutti arricciar li peli,Sentivo già arricciarmi i peli 
3002,"de la paura e stava in dietro intento,","per la paura e mi volgevo indietro a osservare, "
3003,"quand’io dissi: ""Maestro, se non celi ","quando dissi: «Maestro, se non provvedi "
3004,"te e me tostamente, i’ ho pavento","a nascondere me e te in fretta , io ho paura "
3005,d’i Malebranche. Noi li avem già dietro;,dei Malebranche. Noi ormai li abbiamo alle calcagna ; 
3006,"io li ’magino sì, che già li sento"". ",io li immagino a tal punto che li sento». 
3007,"E quei: ""S’i’ fossi di piombato vetro,",E questi: «Se io fossi uno specchio  
3008,l’imagine di fuor tua non trarrei,non rifletterei la tua immagine esteriore 
3009,"più tosto a me, che quella dentro ’mpetro. ",più presto di quanto accolgo  quella interiore. 
3010,"Pur mo venieno i tuo’ pensier tra ’ miei,","Proprio ora  i tuoi pensieri si univano ai miei, "
3011,"con simile atto e con simile faccia,","con un medesimo atteggiamento e aspetto , "
3012,sì che d’intrambi un sol consiglio fei. ,così che da loro ho maturato un’unica decisione. 
3013,"S’elli è che sì la destra costa giaccia,","Se è vero  che la sponda destra digrada ,"
3014,"che noi possiam ne l’altra bolgia scendere,","in modo che noi possiamo scendere nell’altra bolgia, "
3015,"noi fuggirem l’imaginata caccia"". ",noi sfuggiremo all’inseguimento che ci immaginiamo». 
3016,"Già non compié di tal consiglio rendere,","Non terminò di esporre  questa decisione, "
3017,ch’io li vidi venir con l’ali tese,che li vidi sopraggiungere con le ali tese 
3018,"non molto lungi, per volerne prendere. ","non molto distanti, con l’intenzione di catturarci. "
3019,"Lo duca mio di sùbito mi prese,","La mia guida mi prese prontamente , "
3020,come la madre ch’al romore è desta,come fa la madre che è destata dal rumore 
3021,"e vede presso a sé le fiamme accese, ","e vede le fiamme ardere vicino a sé, "
3022,"che prende il figlio e fugge e non s’arresta,","e prende il figlio e fugge e non si ferma, "
3023,"avendo più di lui che di sé cura,","più preoccupata per lui che per sé, "
3024,tanto che solo una camiscia vesta; ,tanto da indossare anche soltanto una camicia; 
3025,e giù dal collo de la ripa dura,e dalla sommità  del pendio roccioso  
3026,"supin si diede a la pendente roccia,",si lasciò andare  supino lungo la parete scoscesa 
3027,che l’un de’ lati a l’altra bolgia tura. ,che delimita  uno dei lati dell’altra bolgia. 
3028,Non corse mai sì tosto acqua per doccia,Mai così veloce scorse l’acqua lungo il canale 
3029,"a volger ruota di molin terragno,","per far girare il mulino di terraferma , "
3030,"quand’ella più verso le pale approccia, ","quando si avvicina  di più alle pale, "
3031,"come ’l maestro mio per quel vivagno,","come il mio maestro per quell’argine , "
3032,"portandosene me sovra ’l suo petto,","portandosi me sopra il petto, "
3033,"come suo figlio, non come compagno. ",come se fossi suo figlio e non un semplice compagno di viaggio. 
3034,A pena fuoro i piè suoi giunti al letto,"Nello stesso momento in cui i suoi piedi toccarono la superficie  del fondo,"
3035,"del fondo giù, ch’e’ furon in sul colle",i diavoli giunsero sul colle soprastante noi;
3036,sovresso noi; ma non lì era sospetto: ,ma lì non c’era più motivo di paura: 
3037,ché l’alta provedenza che lor volle,"poiché la somma Provvidenza, che li ha voluti porre"
3038,"porre ministri de la fossa quinta,","come guardiani della quinta bolgia, "
3039,poder di partirs’indi a tutti tolle. ,ha tolto a ciascuno di essi la possibilità di allontanarsene. 
3040,Là giù trovammo una gente dipinta,Laggiù incontrammo della gente dipinta 
3041,"che giva intorno assai con lenti passi,","che procedeva  a passi molto lenti, "
3042,piangendo e nel sembiante stanca e vinta. ,in lacrime e nell’aspetto abbattuta per la stanchezza. 
3043,Elli avean cappe con cappucci bassi,Essi avevano cappe con i cappucci bassi 
3044,"dinanzi a li occhi, fatte de la taglia","su gli occhi, fabbricate secondo la foggia  "
3045,che in Clugnì per li monaci fassi. ,usata dai monaci in Cluny. 
3046,"Di fuor dorate son, sì ch’elli abbaglia;","All’esterno sono dorate, tanto da abbagliare; "
3047,"ma dentro tutte piombo, e gravi tanto,","dentro sono però tutte di piombo, e molto pesanti  "
3048,che Federigo le mettea di paglia. ,che  quelle che Federico II metteva  erano di paglia. 
3049,Oh in etterno faticoso manto!,Oh gravoso manto per l’eternità! 
3050,Noi ci volgemmo ancor pur a man manca,"Noi ci avviammo ancora a sinistra insieme a loro, "
3051,"con loro insieme, intenti al tristo pianto; ",osservando  il doloroso pianto; 
3052,ma per lo peso quella gente stanca,"ma a causa del peso, quella gente affaticata "
3053,"venìa sì pian, che noi eravam nuovi","procedeva così piano, che noi a ogni passo  "
3054,di compagnia ad ogne mover d’anca. ,ci venivamo a trovare con compagni diversi. 
3055,"Per ch’io al duca mio: ""Fa che tu trovi",Per cui io  alla mia guida: «Fa’ in modo di trovare 
3056,"alcun ch’al fatto o al nome si conosca,","qualcuno che sia noto  o per le imprese o per il nome, "
3057,"e li occhi, sì andando, intorno movi"". ","e volgi gli occhi intorno, pur continuando a camminare». "
3058,"E un che ’ntese la parola tosca,","E uno che sentì il parlar toscano, "
3059,"di retro a noi gridò: ""Tenete i piedi,","ci gridò dietro: «Rallentate il passo, "
3060,voi che correte sì per l’aura fosca! ,voi che correte per l’oscuro cielo! 
3061,"Forse ch’avrai da me quel che tu chiedi"".",Forse potrai avere da me quello che tu chiedi». 
3062,"Onde ’l duca si volse e disse: ""Aspetta,","Per questo la guida si volse e disse: «Attendi, "
3063,"e poi secondo il suo passo procedi"". ",e procedi poi secondo la sua andatura». 
3064,"Ristetti, e vidi due mostrar gran fretta","Mi fermai, e vidi due peccatori che mostravano "
3065,"de l’animo, col viso, d’esser meco;",con gli occhi un vivo desiderio di stare con me; 
3066,ma tardavali ’l carco e la via stretta. ,ma li attardava il peso e la via angusta. 
3067,"Quando fuor giunti, assai con l’occhio bieco","Quando giunsero, mi guardarono a lungo  "
3068,mi rimiraron sanza far parola;,con uno sguardo obliquo  senza dire parola; 
3069,"poi si volsero in sé, e dicean seco: ","poi si consultarono tra loro, e dissero: "
3070,"""Costui par vivo a l’atto de la gola;",«Costui sembra vivo per il movimento della gola; 
3071,"e s’e’ son morti, per qual privilegio","e se essi sono morti, in grazia di quale privilegio "
3072,"vanno scoperti de la grave stola?"". ",se ne vanno liberi  della pesante cappa?». 
3073,"Poi disser me: ""O Tosco, ch’al collegio","Poi dissero a me: «O Toscano, che sei giunto "
3074,"de l’ipocriti tristi se’ venuto,","nel gruppo  dei tristi ipocriti, "
3075,"dir chi tu se’ non avere in dispregio"". ",non ti dispiaccia  dire chi sei». 
3076,"E io a loro: ""I’ fui nato e cresciuto",E io a loro: «Nacqui e crebbi 
3077,"sovra ’l bel fiume d’Arno a la gran villa,","presso la grande città  sul bel fiume Arno, "
3078,e son col corpo ch’i’ ho sempre avuto. ,e mi trovo con il corpo che ho sempre avuto. 
3079,"Ma voi chi siete, a cui tanto distilla","Ma chi siete voi a cui il dolore, per quel ch’io vedo, "
3080,quant’i’ veggio dolor giù per le guance?,giù per le guance fa scendere tante lacrime ?
3081,"e che pena è in voi che sì sfavilla?"". ",e qual è la vostra pena che tanto risplende ?». 
3082,"E l’un rispuose a me: ""Le cappe rance",E uno mi rispose: «Le cappe dorate  
3083,"son di piombo sì grosse, che li pesi","sono di piombo tanto pesanti, che i pesi "
3084,fan così cigolar le lor bilance. ,nello stesso modo fanno cigolare le loro bilance. 
3085,"Frati godenti fummo, e bolognesi;","Fummo frati gaudenti, e bolognesi; "
3086,io Catalano e questi Loderingo,"fummo chiamati io Catalano, quest’altro Loderingo, "
3087,"nomati, e da tua terra insieme presi ","scelti insieme dalla tua città  per conservare la pace,"
3088,"come suole esser tolto un uom solingo,",un compito che di solito viene attribuito a una sola persona; 
3089,"per conservar sua pace; e fummo tali,",e ci comportammo in maniera 
3090,"ch’ancor si pare intorno dal Gardingo"". ",che ancora sono evidenti i segni  nella località del Guardingo ». 
3091,"Io cominciai: ""O frati, i vostri mali..."";","Io cominciai: «O frati, i vostri mali...», "
3092,"ma più non dissi, ch’a l’occhio mi corse","ma non dissi altro, poiché mi capitò sotto gli occhi un peccatore, "
3093,"un, crucifisso in terra con tre pali. ",crocifisso a terra con tre pali. 
3094,"Quando mi vide, tutto si distorse,","Quando mi vide, si contorse  tutto,"
3095,soffiando ne la barba con sospiri;,sbuffando nella barba con sospiri; 
3096,"e ’l frate Catalan, ch’a ciò s’accorse, ","e frate Catalano, che si accorse di questo, "
3097,"mi disse: ""Quel confitto che tu miri,","mi disse: «Quel peccatore  confitto a terra che tu osservi, "
3098,consigliò i Farisei che convenia,consigliò i Farisei che era conveniente 
3099,porre un uom per lo popolo a’ martìri. ,mandare a morte un solo uomo per preservare il popolo.
3100,"Attraversato è, nudo, ne la via,","Nudo, è posto di traverso  nella strada, "
3101,"come tu vedi, ed è mestier ch’el senta","come tu puoi vedere, ed è necessario  che "
3102,"qualunque passa, come pesa, pria. ",lui sopporti il peso di chiunque passi. 
3103,E a tal modo il socero si stenta,Nello stesso modo viene tormentato  anche il suocero 
3104,"in questa fossa, e li altri dal concilio","in questa bolgia , insieme agli altri membri del Sinedrio  "
